mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,pitch_mean,pitch_std,energy_mean,energy_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,emotion
-488.45956,42.61845,-6.084372,3.0528846,-13.423052,-8.576365,-11.888558,-15.374593,-15.474893,-1.9220372,-9.580166,-7.8454556,-4.1729245,189.96405,70.84529,40.569885,29.376188,27.447899,21.689367,16.98573,16.115494,14.576859,10.5300865,11.447408,9.573622,6.9406962,678.07556,677.05756,0.015609128,0.016746758,0.18176832932692308,0.20642971180117814,2799.220387936638,2257.074534206606,angry
-523.67236,42.90096,-6.9847674,4.9217396,-3.0363395,-11.377065,-16.854637,-16.334818,-10.279876,0.3957129,-14.452867,-9.0288315,1.2863789,150.26984,69.01268,28.811277,25.342743,14.410336,19.51475,18.058323,15.764276,13.680985,11.052758,13.10246,10.295177,11.058027,794.57025,855.29956,0.0105793495,0.012608528,0.16387469951923078,0.2061437567443821,2531.1785069612483,2335.780999135935,fearful
-357.65732,23.364548,-32.414146,0.31153047,-12.313401,-20.304777,-16.978329,-15.845461,-11.65705,-1.8167976,-16.232662,-3.16378,10.562716,140.96371,42.40959,32.940605,23.992823,23.18758,21.731432,20.296736,16.335987,16.147278,12.576889,13.155072,13.85498,16.524065,1272.1454,998.69025,0.050605766,0.06780302,0.23572716346153846,0.1526756332878172,3187.615520406395,1307.003495584936,fearful
-390.4137,43.01364,-12.396153,5.3028054,-14.405107,-15.405522,-5.905078,-14.418389,-12.798599,2.2412372,-12.27204,-4.294773,-1.0255482,167.1205,57.84988,33.851444,29.80486,20.947317,25.997677,15.61184,15.134294,12.9939575,12.085813,14.521027,11.163601,8.312691,996.88306,941.0864,0.03329118,0.040214505,0.14829477163461538,0.1401832678201761,2438.289189975182,1811.2036233745423,angry
-586.23083,57.13837,-0.46271926,8.734296,-8.456774,-3.2002158,-12.1065,-12.766155,-9.51286,0.10409252,-7.011762,-6.236832,1.0041875,189.0033,71.3846,26.239742,24.86593,19.724245,17.863094,18.772102,13.390593,12.941956,10.941184,11.636469,7.640003,6.687528,1034.487,1254.2196,0.005406069,0.0058538076,0.13716947115384615,0.1697320863741503,2374.86482472323,2247.443380110009,disgust
-639.24304,67.97127,1.3600217,11.642323,-4.914758,-11.534645,-15.794458,-11.314204,-5.762478,-2.8841171,-11.1635065,-4.4000697,0.2531097,152.21721,63.73517,29.402847,22.705431,20.558428,17.008644,18.63323,12.332163,10.26076,9.793158,12.010046,7.074502,7.434837,661.9915,937.9944,0.003449588,0.004009096,0.22293043870192308,0.2423012440618771,2290.1376784413837,1705.1185710749025,sad
-563.4697,55.6512,-10.888345,6.425067,-3.3976135,-17.902018,-26.524597,-13.795668,-5.763021,-3.5959125,-15.404022,-6.776733,0.5519047,159.26228,80.20388,33.7298,24.819628,14.862628,20.343443,18.256012,16.100222,13.696819,12.057014,12.00741,8.609546,10.445124,841.96405,983.63617,0.007423729,0.007240178,0.34067007211538464,0.3027407046954417,3158.783739792111,2007.338932041983,sad
-528.2058,42.51285,5.9863815,10.834082,-4.8646035,-12.860641,-15.583485,-11.982655,-12.55862,1.4339497,-15.958038,-6.0637293,-2.815362,174.98006,81.72301,34.05681,30.855364,22.326632,19.926128,20.225649,13.990389,14.349111,9.30326,13.544082,10.396381,9.219019,585.5091,811.5282,0.011021666,0.010430767,0.27898512620192306,0.29198123333746395,3086.161432747451,2237.685092285885,disgust
-477.524,47.121395,-12.526679,-0.30022237,-7.1959944,-18.102903,-17.542923,-13.123475,-10.865634,-4.701849,-13.533901,-3.1819024,-3.4079983,197.00945,66.78215,36.57126,26.16387,22.033913,25.739767,19.207956,14.93872,15.9831295,11.995175,13.285208,9.469224,11.011985,539.59186,578.9195,0.020540997,0.02287622,0.2967397836538462,0.2362535596693833,3107.763154508764,1773.5431914558321,surprised
-583.4994,53.590878,-10.293397,5.397375,-6.8472733,-12.535832,-14.522241,-9.968241,-3.9129236,-3.53314,-11.758245,-2.0816407,-6.4562626,173.04434,66.884926,28.440575,23.369698,21.089766,20.100494,19.468544,14.529944,10.232217,11.467506,12.378543,7.5056376,10.507845,762.8314,1022.74677,0.0069874,0.008422708,0.15633263221153845,0.19668555770165963,2283.547030175446,2052.4006337601527,surprised
